taq,sub_sample_level,pvalue,bh
ACC,1000,0.0907179532894126,0.11339744161176574
K,1000,0.0640775064510595,0.10679584408509918
PHU,1000,0.0211576681477014,0.105788340738507
PL,1000,0.21062156056042,0.21062156056042
Q5,1000,0.055043936378878,0.10679584408509918
ACC,5000,0.143066682754408,0.24017650572872334
K,5000,0.220671361919847,0.27583920239980875
PHU,5000,0.118687748305409,0.24017650572872334
PL,5000,0.37491325264169,0.37491325264169
Q5,5000,0.144105903437234,0.24017650572872334
ACC,10000,0.1572992,0.24431733333333333
K,10000,NA,NA
PHU,10000,0.1482151,0.24431733333333333
PL,10000,0.5563467,0.5563467
Q5,10000,0.183238,0.24431733333333333
ACC,15000,0.1572992,0.3145984
K,15000,NA,NA
PHU,15000,0.1482151,0.3145984
PL,15000,0.5563467,0.5866462
Q5,15000,0.5866462,0.5866462
ACC,20000,0.1572992,0.4292777333333333
K,20000,NA,NA
PHU,20000,0.3219583,0.4292777333333333
PL,20000,0.2592403,0.4292777333333333
Q5,20000,0.5866462,0.5866462
