otu,genus,median_mda,iqr25,iqr75,min_mda,max_mda
Otu0015,Lachnospiraceae_unclassified,3.241603458047032,0.8197198119614448,4.041383422134596,-4.081422723168144,6.235498563311492
Otu0024,Dorea,2.7457825923033217,0.3981812148422535,4.000623613887944,-2.674377850393315,6.573566051754735
Otu0031,Erysipelotrichaceae_unclassified,2.278304847757819,0.9531169176167478,3.492185414892123,-2.1189435705827737,5.475152636158695
Otu0016,Streptococcus,2.106941440991141,0.35419920708827746,5.1648094262773645,-3.7242491627038072,7.017483811752365
Otu0021,Collinsella,2.082554668859137,0.2677088189197881,2.9547391388730353,-2.689261546447608,5.372806332181397
Otu0006,Roseburia,1.4833864935761019,0.0509678862649718,2.6669407584944658,-2.384556129447513,5.172156041299333
Otu0029,Bacteroides,1.4138993974103442,0.6452915660893364,2.365819835569255,-2.346662048591133,4.206282189901534
Otu0041,Bacteroides,1.4096828796028409,0.35232650855585235,2.0621958547348767,-3.9518250411532727,3.7330932422175764
Otu0069,Ruminococcaceae_unclassified,1.3990548356638133,-0.025496072884998174,2.4811756428382155,-3.565494712309249,4.105014046227972
Otu0113,Ruminococcaceae_unclassified,1.3440622799127366,0.44048839766795983,1.901761614843433,-1.7848988109375055,3.7620788004823797
