diff,lwr,upr,p adj,comparison,cycle,sub_sample_level
121.49999999999999,NaN,NaN,NaN,Q5-PHU,15x,5000
-11.916666666666629,-117.23048123251533,93.39714789918207,0.996283268848732,K-ACC,35x,5000
26.25000000000003,-71.25164630878201,123.75164630878207,0.9139039080731474,PHU-ACC,35x,5000
108.00000000000006,10.498353691218014,205.50164630878209,0.027004264108131282,PL-ACC,35x,5000
61.5,-36.00164630878204,159.00164630878203,0.33055801632123005,Q5-ACC,35x,5000
38.16666666666666,-67.14714789918204,143.48048123251536,0.7889352469387148,PHU-K,35x,5000
119.91666666666669,14.602852100817984,225.2304812325154,0.022570928125075218,PL-K,35x,5000
73.41666666666663,-31.897147899182073,178.73048123251533,0.2454788165585985,Q5-K,35x,5000
81.75000000000003,-15.751646308782014,179.25164630878209,0.12122874615456858,PL-PHU,35x,5000
35.24999999999997,-62.25164630878207,132.75164630878203,0.7903384519315436,Q5-PHU,35x,5000
-46.50000000000006,-144.00164630878209,51.001646308781986,0.5869587229295814,Q5-PL,35x,5000
5.499999999999886,-164.85304050471072,175.8530405047105,0.9999722564430545,K-ACC,35x,10000
36.99999999999994,-102.09267512273868,176.09267512273857,0.9140205994944032,PHU-ACC,35x,10000
192.49999999999991,53.40732487726129,331.59267512273857,0.005766246593727153,PL-ACC,35x,10000
105.99999999999991,-33.09267512273871,245.09267512273854,0.17631207742360222,Q5-ACC,35x,10000
31.500000000000057,-138.85304050471055,201.85304050471066,0.9754256692156045,PHU-K,35x,10000
187.00000000000003,16.646959495289423,357.35304050471063,0.028955566764414464,PL-K,35x,10000
100.50000000000003,-69.85304050471058,270.85304050471063,0.3846916315822163,Q5-K,35x,10000
155.49999999999997,16.407324877261345,294.59267512273857,0.02583529032248777,PL-PHU,35x,10000
68.99999999999997,-70.09267512273865,208.0926751227386,0.5440884485983655,Q5-PHU,35x,10000
-86.5,-225.59267512273863,52.592675122738626,0.3370401338088186,Q5-PL,35x,10000
63.75000000000006,-147.26161434176285,274.761614341763,0.8066343890254728,PHU-ACC,35x,20000
299.50000000000006,88.48838565823715,510.511614341763,0.005706985306875079,PL-ACC,35x,20000
165.00000000000006,-46.01161434176285,376.011614341763,0.14741754734330148,Q5-ACC,35x,20000
235.75,24.738385658237092,446.7616143417629,0.027280419671787848,PL-PHU,35x,20000
101.25,-109.76161434176291,312.2616143417629,0.5087852441225732,Q5-PHU,35x,20000
-134.5,-345.5116143417629,76.51161434176291,0.28145387578375836,Q5-PL,35x,20000
