Group,numOTUs,cycles,taq,sample_type,sample_name
20x_PL_Mock_DNA1,13,20x,PL,Mock,DNA1
20x_PL_Mock_DNA2,17,20x,PL,Mock,DNA2
20x_PL_Mock_DNA3,11,20x,PL,Mock,DNA3
20x_PL_Mock_DNA4,15,20x,PL,Mock,DNA4
25x_ACC_Mock_DNA1,18,25x,ACC,Mock,DNA1
25x_ACC_Mock_DNA2,18,25x,ACC,Mock,DNA2
25x_ACC_Mock_DNA3,15,25x,ACC,Mock,DNA3
25x_ACC_Mock_DNA4,12,25x,ACC,Mock,DNA4
25x_PHU_Mock_DNA1,17,25x,PHU,Mock,DNA1
25x_PHU_Mock_DNA2,18,25x,PHU,Mock,DNA2
25x_PHU_Mock_DNA3,12,25x,PHU,Mock,DNA3
25x_PHU_Mock_DNA4,15,25x,PHU,Mock,DNA4
25x_PL_Mock_DNA1,23,25x,PL,Mock,DNA1
25x_PL_Mock_DNA2,26,25x,PL,Mock,DNA2
25x_PL_Mock_DNA3,30,25x,PL,Mock,DNA3
25x_PL_Mock_DNA4,22,25x,PL,Mock,DNA4
25x_Q5_Mock_DNA1,18,25x,Q5,Mock,DNA1
25x_Q5_Mock_DNA2,19,25x,Q5,Mock,DNA2
25x_Q5_Mock_DNA3,12,25x,Q5,Mock,DNA3
25x_Q5_Mock_DNA4,16,25x,Q5,Mock,DNA4
30x_PHU_Mock_DNA1,37,30x,PHU,Mock,DNA1
30x_PHU_Mock_DNA2,25,30x,PHU,Mock,DNA2
30x_PHU_Mock_DNA3,31,30x,PHU,Mock,DNA3
30x_PHU_Mock_DNA4,23,30x,PHU,Mock,DNA4
30x_PL_Mock_DNA10,70,30x,PL,Mock,DNA10
30x_PL_Mock_DNA1,66,30x,PL,Mock,DNA1
30x_PL_Mock_DNA2,70,30x,PL,Mock,DNA2
30x_PL_Mock_DNA3,60,30x,PL,Mock,DNA3
30x_PL_Mock_DNA4,59,30x,PL,Mock,DNA4
30x_PL_Mock_DNA5,59,30x,PL,Mock,DNA5
30x_PL_Mock_DNA6,66,30x,PL,Mock,DNA6
30x_PL_Mock_DNA7,47,30x,PL,Mock,DNA7
30x_PL_Mock_DNA8,68,30x,PL,Mock,DNA8
30x_PL_Mock_DNA9,57,30x,PL,Mock,DNA9
30x_Q5_Mock_DNA10,42,30x,Q5,Mock,DNA10
30x_Q5_Mock_DNA1,39,30x,Q5,Mock,DNA1
30x_Q5_Mock_DNA2,34,30x,Q5,Mock,DNA2
30x_Q5_Mock_DNA3,43,30x,Q5,Mock,DNA3
30x_Q5_Mock_DNA4,39,30x,Q5,Mock,DNA4
30x_Q5_Mock_DNA5,29,30x,Q5,Mock,DNA5
30x_Q5_Mock_DNA6,37,30x,Q5,Mock,DNA6
30x_Q5_Mock_DNA7,40,30x,Q5,Mock,DNA7
30x_Q5_Mock_DNA8,41,30x,Q5,Mock,DNA8
30x_Q5_Mock_DNA9,42,30x,Q5,Mock,DNA9
35x_ACC_Mock_DNA1,32,35x,ACC,Mock,DNA1
35x_ACC_Mock_DNA2,30,35x,ACC,Mock,DNA2
35x_ACC_Mock_DNA3,38,35x,ACC,Mock,DNA3
35x_ACC_Mock_DNA4,34,35x,ACC,Mock,DNA4
35x_PHU_Mock_DNA1,41,35x,PHU,Mock,DNA1
35x_PHU_Mock_DNA2,39,35x,PHU,Mock,DNA2
35x_PHU_Mock_DNA3,40,35x,PHU,Mock,DNA3
35x_PHU_Mock_DNA4,38,35x,PHU,Mock,DNA4
35x_PL_Mock_DNA1,113,35x,PL,Mock,DNA1
35x_PL_Mock_DNA2,111,35x,PL,Mock,DNA2
35x_PL_Mock_DNA3,119,35x,PL,Mock,DNA3
35x_PL_Mock_DNA4,133,35x,PL,Mock,DNA4
35x_PL_Water,31,35x,PL,Water,NA
35x_Q5_Mock_DNA1,55,35x,Q5,Mock,DNA1
35x_Q5_Mock_DNA2,57,35x,Q5,Mock,DNA2
35x_Q5_Mock_DNA3,57,35x,Q5,Mock,DNA3
35x_Q5_Mock_DNA4,60,35x,Q5,Mock,DNA4
Zmock_A_111716,14,30x,ACC,Mock,NA
Zmock_B_111716,14,30x,ACC,Mock,NA
Zmock_C_111716,18,30x,ACC,Mock,NA
Zmock_D_111716,15,30x,ACC,Mock,NA
